#TYPE Deserialized.System.Object
"ComputerName","GroupName","Type","Name","PSComputerName","RunspaceId","PSShowComputerName"
"UKVMSWEB012","Administrators","User","K1_Admin","UKVMSWEB012","a8db70db-5edf-4012-beae-b11c03e3edf9","True"
"UKVMSWEB012","Administrators","Group","UK-SG Member Server Admins","UKVMSWEB012","a8db70db-5edf-4012-beae-b11c03e3edf9","True"
"UKVMSWEB012","Administrators","User","oper-Rmills1","UKVMSWEB012","a8db70db-5edf-4012-beae-b11c03e3edf9","True"
"UKVMSWEB012","Administrators","User","oper-pmulcare","UKVMSWEB012","a8db70db-5edf-4012-beae-b11c03e3edf9","True"
"UKVMSWEB012","Administrators","User","oper-sushah","UKVMSWEB012","a8db70db-5edf-4012-beae-b11c03e3edf9","True"
"UKVMSWEB012","Administrators","Group","UK-SG DMS Team UK","UKVMSWEB012","a8db70db-5edf-4012-beae-b11c03e3edf9","True"
"UKVMSWEB012","Administrators","User","uktppcampbell","UKVMSWEB012","a8db70db-5edf-4012-beae-b11c03e3edf9","True"
"UKVMSWEB012","Administrators","User","svc-worksite-uk","UKVMSWEB012","a8db70db-5edf-4012-beae-b11c03e3edf9","True"
"UKVMSWEB012","Administrators","User","svc-SequenceAdmin_T","UKVMSWEB012","a8db70db-5edf-4012-beae-b11c03e3edf9","True"
"UKVMSWEB012","Administrators","User","svc-EfilingWFS_TST","UKVMSWEB012","a8db70db-5edf-4012-beae-b11c03e3edf9","True"
"UKVMSWEB012","Administrators","User","svc-Portal_TST","UKVMSWEB012","a8db70db-5edf-4012-beae-b11c03e3edf9","True"
"UKVMSWEB012","Administrators","User","oper-mfraser","UKVMSWEB012","a8db70db-5edf-4012-beae-b11c03e3edf9","True"
"UKVMSWEB012","Administrators","User","svc-Taxworkflow","UKVMSWEB012","a8db70db-5edf-4012-beae-b11c03e3edf9","True"
"UKVMSWEB012","Administrators","User","svc-taxIESws_TST","UKVMSWEB012","a8db70db-5edf-4012-beae-b11c03e3edf9","True"
"UKVMSWEB012","Administrators","Group","Domain Admins","UKVMSWEB012","a8db70db-5edf-4012-beae-b11c03e3edf9","True"
"UKVMSWEB012","Administrators","User","JBelling","UKVMSWEB012","a8db70db-5edf-4012-beae-b11c03e3edf9","True"
"UKVMSWEB012","Administrators","User","svc-DocumentWFS_TST","UKVMSWEB012","a8db70db-5edf-4012-beae-b11c03e3edf9","True"
"UKVMSWEB012","Administrators","User","svc-DocumentWFS","UKVMSWEB012","a8db70db-5edf-4012-beae-b11c03e3edf9","True"
"UKVMSWEB012","Administrators","Group","UK-SG MS2012 Server Local Admins - DMS","UKVMSWEB012","a8db70db-5edf-4012-beae-b11c03e3edf9","True"
"UKVMSWEB012","Administrators","Group","UK-SG MS2012 Server Local Admins - All","UKVMSWEB012","a8db70db-5edf-4012-beae-b11c03e3edf9","True"
"UKVMSWEB012","Administrators","User","svc-SCCM2012RC","UKVMSWEB012","a8db70db-5edf-4012-beae-b11c03e3edf9","True"
"UKVMSWEB012","Administrators","User","oper-Jmcateer","UKVMSWEB012","a8db70db-5edf-4012-beae-b11c03e3edf9","True"
"UKVMSWEB012","Administrators","User","ukx-svc-DEPLOY","UKVMSWEB012","a8db70db-5edf-4012-beae-b11c03e3edf9","True"
"UKVMSWEB012","Administrators","Group","UK-SG_TTG_ADMIN","UKVMSWEB012","a8db70db-5edf-4012-beae-b11c03e3edf9","True"
"UKVMSWEB012","Administrators","User","uk-svc-qualys","UKVMSWEB012","a8db70db-5edf-4012-beae-b11c03e3edf9","True"
"UKVMSWEB012","Administrators","User","oper-bkhan","UKVMSWEB012","a8db70db-5edf-4012-beae-b11c03e3edf9","True"
"UKVMSWEB012","Administrators","User","HSubramanian","UKVMSWEB012","a8db70db-5edf-4012-beae-b11c03e3edf9","True"
"UKVMSWEB012","Administrators","User","ukrctgovardhan","UKVMSWEB012","a8db70db-5edf-4012-beae-b11c03e3edf9","True"
"UKVMSWEB012","Administrators","User","VictorSoares","UKVMSWEB012","a8db70db-5edf-4012-beae-b11c03e3edf9","True"
"UKVMSWEB012","Administrators","User","ukspsshetty","UKVMSWEB012","a8db70db-5edf-4012-beae-b11c03e3edf9","True"
"UKVMSWEB012","Administrators","User","ukrcsms1","UKVMSWEB012","a8db70db-5edf-4012-beae-b11c03e3edf9","True"
"UKVMSWEB012","Administrators","User","UKServerAcc","UKVMSWEB012","a8db70db-5edf-4012-beae-b11c03e3edf9","True"
"UKVMSWEB012","Administrators","Group","UK-SG Bangalore NMC","UKVMSWEB012","a8db70db-5edf-4012-beae-b11c03e3edf9","True"
"UKVMSWEB012","Event Log Readers","Group","UK-SG TaxWorkflow_Support","UKVMSWEB012","a8db70db-5edf-4012-beae-b11c03e3edf9","True"
"UKVMSWEB012","Guests","User","K1_Gst","UKVMSWEB012","a8db70db-5edf-4012-beae-b11c03e3edf9","True"
"UKVMSWEB012","IIS_IUSRS","System","WorkSiteWeb","UKVMSWEB012","a8db70db-5edf-4012-beae-b11c03e3edf9","True"
"UKVMSWEB012","IIS_IUSRS","System","DefaultAppPool","UKVMSWEB012","a8db70db-5edf-4012-beae-b11c03e3edf9","True"
"UKVMSWEB012","IIS_IUSRS","System","SeqAdmin","UKVMSWEB012","a8db70db-5edf-4012-beae-b11c03e3edf9","True"
"UKVMSWEB012","IIS_IUSRS","System","TaxPortal","UKVMSWEB012","a8db70db-5edf-4012-beae-b11c03e3edf9","True"
"UKVMSWEB012","IIS_IUSRS","System","Process.Forms","UKVMSWEB012","a8db70db-5edf-4012-beae-b11c03e3edf9","True"
"UKVMSWEB012","Power Users","Group","UK-SG Hardware Team","UKVMSWEB012","a8db70db-5edf-4012-beae-b11c03e3edf9","True"
"UKVMSWEB012","Remote Desktop Users","User","ukrctgovardhan","UKVMSWEB012","a8db70db-5edf-4012-beae-b11c03e3edf9","True"
"UKVMSWEB012","Users","System","INTERACTIVE","UKVMSWEB012","a8db70db-5edf-4012-beae-b11c03e3edf9","True"
"UKVMSWEB012","Users","System","Authenticated Users","UKVMSWEB012","a8db70db-5edf-4012-beae-b11c03e3edf9","True"
"UKVMSWEB012","Users","Group","Domain Users","UKVMSWEB012","a8db70db-5edf-4012-beae-b11c03e3edf9","True"
"UKVMSWEB012","ConfigMgr Remote Control Users","Group","UK-SG SCCM2012 Remote Viewer","UKVMSWEB012","a8db70db-5edf-4012-beae-b11c03e3edf9","True"
"UKVMSWEB013","Administrators","User","K1_Admin","UKVMSWEB013","ccdd4879-bb81-4abd-95b4-de5b85af0964","True"
